"RELIANCE WORLDWIDE CORPORATION LIMITED","RWC",
"SOUTH32 LIMITED","S32",
"ST BARBARA LIMITED","SBM",
"SCENTRE GROUP","SCG",
"SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP","SCP",
"STEADFAST GROUP LIMITED","SDF",
"SEEK LIMITED","SEK",
"ETFS SEMICONDUCTOR ETF","SEMI",
"SANDFIRE RESOURCES LIMITED","SFR",
"SG FLEET GROUP LIMITED","SGF",
"SIMS LIMITED","SGM",
"STOCKLAND","SGP",
"THE STAR ENTERTAINMENT GROUP LIMITED","SGR",
"SONIC HEALTHCARE LIMITED","SHL",
"SELECT HARVESTS LIMITED","SHV",
"SMARTGROUP CORPORATION LTD","SIQ",
"SKYCITY ENTERTAINMENT GROUP LIMITED","SKC",
"SPDR S&P/ASX 200 LISTED PROPERTY FUND","SLF",
"SILVER LAKE RESOURCES LIMITED","SLR",
"SYNLAIT MILK LIMITED","SM1",
"ETFS ULTRA SHORT NASDAQ 100 HEDGE FUND","SNAS",
"WASHINGTON H SOUL PATTINSON & COMPANY LIMITED","SOL",
"SPARK NEW ZEALAND LIMITED","SPK",
"STARPHARMA HOLDINGS LIMITED","SPL",
"BLOCK INC.","SQ2",
"SSR MINING INC.","SSR",
"SANTOS LIMITED","STO",
"SPDR S&P/ASX 200 FUND","STW",
"SUPER RETAIL GROUP LIMITED","SUL",
"SUNCORP GROUP LIMITED","SUN",
"SEVEN GROUP HOLDINGS LIMITED","SVW",
"SOUTHERN CROSS MEDIA GROUP LIMITED","SXL",
"SYRAH RESOURCES LIMITED","SYR",
"TABCORP HOLDINGS LIMITED","TAH",
"TRANSURBAN GROUP","TCL",
"ETFS MORNINGSTAR GLOBAL TECHNOLOGY ETF","TECH",
"TASSAL GROUP LIMITED","TGR",
"TELSTRA CORPORATION LIMITED.","TLS",
"TELIX PHARMACEUTICALS LIMITED","TLX",
"TECHNOLOGY ONE LIMITED","TNE",
"TPG TELECOM LIMITED.","TPG",
"TEMPLE & WEBSTER GROUP LTD","TPW",
"TUAS LIMITED","TUA",
"TREASURY WINE ESTATES LIMITED","TWE",
"TYRO PAYMENTS LIMITED","TYR",
"UNITED MALT GROUP LIMITED","UMG",
"UNIBAIL-RODAMCO-WESTFIELD","URW",
"UNITI GROUP LIMITED","UWL",
"VANGUARD AUSTRALIAN PROPERTY SECURITIES INDEX ETF","VAP",
"VANGUARD AUSTRALIAN SHARES INDEX ETF","VAS",
"VICINITY CENTRES","VCX",
"VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF","VDHG",
"VIVA ENERGY GROUP LIMITED","VEA",
"VANGUARD MSCI INDEX INTERNATIONAL SHARES (HEDGED) ETF","VGAD",
"VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF","VGS",
"VANGUARD AUSTRALIAN SHARES HIGH YIELD ETF","VHY",
"VANGUARD MSCI AUSTRALIAN SMALL COMPANIES INDEX ETF","VSO",
"VIRGIN MONEY UK PLC","VUK",
"VULCAN ENERGY RESOURCES LIMITED","VUL",
"VANGUARD GLOBAL VALUE EQUITY ACTIVE ETF (MANAGED FUND)","VVLU",
"WEST AFRICAN RESOURCES LIMITED","WAF",
"WAM CAPITAL LIMITED","WAM",
"WESTPAC BANKING CORPORATION","WBC",
"WEBJET LIMITED","WEB",
"WESFARMERS LIMITED","WES",
"WESTGOLD RESOURCES LIMITED.","WGX",
"WHITEHAVEN COAL LIMITED","WHC",
"WORLEY LIMITED","WOR",
"WOOLWORTHS GROUP LIMITED","WOW",
"WOODSIDE PETROLEUM LTD","WPL",
"WAYPOINT REIT","WPR",
"WISETECH GLOBAL LIMITED","WTC",
"SPDR S&P WORLD EX AUSTRALIA CARBON CONTROL FUND","WXOZ",
"XERO LIMITED","XRO",
"YANCOAL AUSTRALIA LIMITED","YAL",
"ZIP CO LIMITED.","Z1P",
"ZIMPLATS HOLDINGS LIMITED","ZIM",
